Title,Implementation,Published
"<a target=""_blank"" href=""http://arxiv.org/pdf/2211.07173v4"">SportsTrack: An Innovative Method for Tracking Athletes in Sports Scenes</a>","<a target=""_blank"" href=""https://github.com/vghost2008/sportstrack"">CODE</a>",2022-11-14
"<a target=""_blank"" href=""http://arxiv.org/pdf/2210.13570v1"">Strong-TransCenter: Improved Multi-Object Tracking based on Transformers with Dense Representations</a>","<a target=""_blank"" href=""https://github.com/amitgalor18/stc_tracker"">CODE</a>",2022-10-24
"<a target=""_blank"" href=""http://arxiv.org/pdf/2210.06984v1"">QDTrack: Quasi-Dense Similarity Learning for Appearance-Only Multiple Object Tracking</a>","<a target=""_blank"" href=""https://github.com/SysCV/qdtrack"">CODE</a>",2022-10-12
"<a target=""_blank"" href=""http://arxiv.org/pdf/2210.05278v2"">EnsembleMOT: A Step towards Ensemble Learning of Multiple Object Tracking</a>","<a target=""_blank"" href=""https://github.com/dyhbupt/ensemblemot"">CODE</a>",2022-10-11
"<a target=""_blank"" href=""http://arxiv.org/pdf/2209.12248v1"">D$^{\bf{3}}$: Duplicate Detection Decontaminator for Multi-Athlete Tracking in Sports Videos</a>","<a target=""_blank"" href=""https://github.com/heruihr/rallytrack"">CODE</a>",2022-09-25
"<a target=""_blank"" href=""http://arxiv.org/pdf/2209.12118v2"">BURST: A Benchmark for Unifying Object Recognition, Segmentation and Tracking in Video</a>","<a target=""_blank"" href=""https://github.com/ali2500/burst-benchmark"">CODE</a>",2022-09-25
"<a target=""_blank"" href=""http://arxiv.org/pdf/2209.11404v3"">Towards Frame Rate Agnostic Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/helicopt/framot"">CODE</a>",2022-09-23
"<a target=""_blank"" href=""http://arxiv.org/pdf/2208.12940v2"">Actor-identified Spatiotemporal Action Detection -- Detecting Who Is Doing What in Videos</a>","<a target=""_blank"" href=""https://github.com/fandulu/asad"">CODE</a>",2022-08-27
"<a target=""_blank"" href=""http://arxiv.org/pdf/2208.03571v2"">Transformer-based assignment decision network for multiple object tracking</a>","<a target=""_blank"" href=""https://github.com/psaltaath/tadn-mot"">CODE</a>",2022-08-06
"<a target=""_blank"" href=""http://arxiv.org/pdf/2208.03120v2"">Accelerating the Sinkhorn algorithm for sparse multi-marginal optimal transport by fast Fourier transforms</a>","<a target=""_blank"" href=""https://github.com/fatima0111/NFFT-Sinkhorn"">CODE</a>",2022-08-05
"<a target=""_blank"" href=""http://arxiv.org/pdf/2207.07454v1"">Multi-Object Tracking and Segmentation via Neural Message Passing</a>","<a target=""_blank"" href=""https://github.com/ocetintas/mpntrackseg"">CODE</a>",2022-07-15
"<a target=""_blank"" href=""http://arxiv.org/pdf/2207.03726v1"">TGRMPT: A Head-Shoulder Aided Multi-Person Tracker and a New Large-Scale Dataset for Tour-Guide Robot</a>","<a target=""_blank"" href=""https://github.com/wenwenzju/TGRMPT"">CODE</a>",2022-07-08
"<a target=""_blank"" href=""http://arxiv.org/pdf/2206.14651v2"">BoT-SORT: Robust Associations Multi-Pedestrian Tracking</a>","<a target=""_blank"" href=""https://github.com/PaddlePaddle/PaddleDetection/tree/develop/configs/mot"">CODE</a>",2022-06-29
"<a target=""_blank"" href=""http://arxiv.org/pdf/2206.10255v6"">GNN-PMB: A Simple but Effective Online 3D Multi-Object Tracker without Bells and Whistles</a>","<a target=""_blank"" href=""https://github.com/chisyliu/GnnPmbTracker"">CODE</a>",2022-06-21
"<a target=""_blank"" href=""http://arxiv.org/pdf/2206.09372v2"">mvHOTA: A multi-view higher order tracking accuracy metric to measure spatial and temporal associations in multi-point detection</a>","<a target=""_blank"" href=""https://github.com/cardio-ai/mvhota"">CODE</a>",2022-06-19
"<a target=""_blank"" href=""http://arxiv.org/pdf/2205.15495v1"">Joint Spatial-Temporal and Appearance Modeling with Transformer for Multiple Object Tracking</a>","<a target=""_blank"" href=""https://github.com/icicle4/transtam"">CODE</a>",2022-05-31
"<a target=""_blank"" href=""http://arxiv.org/pdf/2203.03985v1"">SimpleTrack: Rethinking and Improving the JDE Approach for Multi-Object Tracking</a>","<a target=""_blank"" href=""https://github.com/1vpmaster/SimpleTrack"">CODE</a>",2022-03-08
"<a target=""_blank"" href=""http://arxiv.org/pdf/2202.13514v2"">StrongSORT: Make DeepSORT Great Again</a>","<a target=""_blank"" href=""https://github.com/mikel-brostrom/Yolov5_StrongSORT_OSNet"">CODE</a>",2022-02-28
"<a target=""_blank"" href=""http://arxiv.org/pdf/2202.12100v2"">DeepFusionMOT: A 3D Multi-Object Tracking Framework Based on Camera-LiDAR Fusion with Deep Association</a>","<a target=""_blank"" href=""https://github.com/wangxiyang2022/DeepFusionMOT"">CODE</a>",2022-02-24
"<a target=""_blank"" href=""http://arxiv.org/pdf/2202.07909v1"">Can Deep Learning be Applied to Model-Based Multi-Object Tracking?</a>","<a target=""_blank"" href=""https://github.com/julianolagana/mt3v2"">CODE</a>",2022-02-16
"<a target=""_blank"" href=""http://arxiv.org/pdf/2202.00954v1"">Approximative Algorithms for Multi-Marginal Optimal Transport and Free-Support Wasserstein Barycenters</a>","<a target=""_blank"" href=""https://github.com/jvlindheim/mot"">CODE</a>",2022-02-02
"<a target=""_blank"" href=""http://arxiv.org/pdf/2201.05609v2"">Multilingual Open Text Release 1: Public Domain News in 44 Languages</a>","<a target=""_blank"" href=""https://github.com/VietHoang1710/khmer-nltk"">CODE</a>",2022-01-14
"<a target=""_blank"" href=""http://arxiv.org/pdf/2112.08345v2"">Reliable Multi-Object Tracking in the Presence of Unreliable Detections</a>","<a target=""_blank"" href=""https://github.com/tmandel/fish-detrac"">CODE</a>",2021-12-15
"<a target=""_blank"" href=""http://arxiv.org/pdf/2111.14690v3"">DanceTrack: Multi-Object Tracking in Uniform Appearance and Diverse Motion</a>","<a target=""_blank"" href=""https://github.com/PaddlePaddle/PaddleDetection"">CODE</a>",2021-11-29
"<a target=""_blank"" href=""http://arxiv.org/pdf/2111.09621v1"">SimpleTrack: Understanding and Rethinking 3D Multi-object Tracking</a>","<a target=""_blank"" href=""https://github.com/tusen-ai/simpletrack"">CODE</a>",2021-11-18
"<a target=""_blank"" href=""http://arxiv.org/pdf/2111.08954v3"">Tracklet-Switch Adversarial Attack against Pedestrian Multi-Object Tracking Trackers</a>","<a target=""_blank"" href=""https://github.com/derryhub/fairmot-attack"">CODE</a>",2021-11-17
"<a target=""_blank"" href=""http://arxiv.org/pdf/2111.06425v2"">Multiple Hypothesis Hypergraph Tracking for Posture Identification in Embryonic Caenorhabditis elegans</a>","<a target=""_blank"" href=""https://github.com/lauziere/mhht"">CODE</a>",2021-11-11
